Chunk,Condition
AVA_053oq2xB3oU_s140000_e144000_chunk35,True
AVA_053oq2xB3oU_s144000_e148000_chunk36,True
AVA_053oq2xB3oU_s148000_e152000_chunk37,True
AVA_053oq2xB3oU_s152000_e156000_chunk38,True
AVA_053oq2xB3oU_s156000_e160000_chunk39,True
AVA_053oq2xB3oU_s160000_e164000_chunk40,True
AVA_053oq2xB3oU_s164000_e168000_chunk41,False
AVA_053oq2xB3oU_s168000_e172000_chunk42,True
AVA_053oq2xB3oU_s172000_e176000_chunk43,True
AVA_053oq2xB3oU_s176000_e180000_chunk44,True
AVA_053oq2xB3oU_s180000_e184000_chunk45,False
AVA_053oq2xB3oU_s184000_e188000_chunk46,False
AVA_053oq2xB3oU_s188000_e192000_chunk47,False
AVA_053oq2xB3oU_s192000_e196000_chunk48,True
AVA_053oq2xB3oU_s196000_e200000_chunk49,True
AVA_053oq2xB3oU_s200000_e204000_chunk50,False
AVA_053oq2xB3oU_s204000_e208000_chunk51,True
AVA_053oq2xB3oU_s208000_e212000_chunk52,True
AVA_053oq2xB3oU_s212000_e216000_chunk53,True
AVA_053oq2xB3oU_s216000_e220000_chunk54,False
AVA_053oq2xB3oU_s220000_e224000_chunk55,False
AVA_053oq2xB3oU_s224000_e228000_chunk56,False
AVA_053oq2xB3oU_s228000_e232000_chunk57,True
AVA_053oq2xB3oU_s232000_e236000_chunk58,True
AVA_053oq2xB3oU_s236000_e240000_chunk59,True
AVA_053oq2xB3oU_s240000_e244000_chunk60,True
AVA_053oq2xB3oU_s244000_e248000_chunk61,True
AVA_053oq2xB3oU_s248000_e252000_chunk62,True
AVA_053oq2xB3oU_s252000_e256000_chunk63,True
AVA_053oq2xB3oU_s256000_e260000_chunk64,True
AVA_053oq2xB3oU_s260000_e264000_chunk65,True
AVA_053oq2xB3oU_s264000_e268000_chunk66,True
AVA_053oq2xB3oU_s268000_e272000_chunk67,True
AVA_053oq2xB3oU_s272000_e276000_chunk68,False
AVA_053oq2xB3oU_s276000_e280000_chunk69,True
AVA_053oq2xB3oU_s280000_e284000_chunk70,True
AVA_053oq2xB3oU_s284000_e288000_chunk71,True
AVA_053oq2xB3oU_s288000_e292000_chunk72,True
AVA_053oq2xB3oU_s292000_e296000_chunk73,True
AVA_053oq2xB3oU_s296000_e300000_chunk74,True
AVA_053oq2xB3oU_s300000_e304000_chunk75,True
AVA_053oq2xB3oU_s304000_e308000_chunk76,True
AVA_053oq2xB3oU_s308000_e312000_chunk77,True
AVA_053oq2xB3oU_s312000_e316000_chunk78,True
AVA_053oq2xB3oU_s316000_e320000_chunk79,True
AVA_053oq2xB3oU_s320000_e324000_chunk80,True
AVA_053oq2xB3oU_s324000_e328000_chunk81,True
AVA_053oq2xB3oU_s328000_e332000_chunk82,True
AVA_053oq2xB3oU_s332000_e336000_chunk83,True
AVA_053oq2xB3oU_s336000_e340000_chunk84,True
AVA_053oq2xB3oU_s340000_e344000_chunk85,True
AVA_053oq2xB3oU_s344000_e348000_chunk86,True
AVA_053oq2xB3oU_s348000_e352000_chunk87,True
AVA_053oq2xB3oU_s352000_e356000_chunk88,False
AVA_053oq2xB3oU_s356000_e360000_chunk89,True
AVA_053oq2xB3oU_s360000_e364000_chunk90,True
AVA_053oq2xB3oU_s364000_e368000_chunk91,True
AVA_053oq2xB3oU_s368000_e372000_chunk92,True
AVA_053oq2xB3oU_s372000_e376000_chunk93,True
AVA_053oq2xB3oU_s376000_e380000_chunk94,True
AVA_053oq2xB3oU_s380000_e384000_chunk95,True
AVA_053oq2xB3oU_s384000_e388000_chunk96,True
AVA_053oq2xB3oU_s388000_e392000_chunk97,True
AVA_053oq2xB3oU_s392000_e396000_chunk98,True
AVA_053oq2xB3oU_s396000_e400000_chunk99,True
AVA_053oq2xB3oU_s400000_e404000_chunk100,True
AVA_053oq2xB3oU_s404000_e408000_chunk101,True
AVA_053oq2xB3oU_s408000_e412000_chunk102,True
AVA_053oq2xB3oU_s412000_e416000_chunk103,True
AVA_053oq2xB3oU_s416000_e420000_chunk104,True
AVA_053oq2xB3oU_s420000_e424000_chunk105,True
AVA_053oq2xB3oU_s424000_e428000_chunk106,True
AVA_053oq2xB3oU_s428000_e432000_chunk107,True
AVA_053oq2xB3oU_s432000_e436000_chunk108,True
AVA_053oq2xB3oU_s436000_e440000_chunk109,True
AVA_053oq2xB3oU_s440000_e444000_chunk110,True
AVA_053oq2xB3oU_s444000_e448000_chunk111,True
AVA_053oq2xB3oU_s448000_e452000_chunk112,True
AVA_053oq2xB3oU_s452000_e456000_chunk113,True
AVA_053oq2xB3oU_s456000_e460000_chunk114,True
AVA_053oq2xB3oU_s460000_e464000_chunk115,True
AVA_053oq2xB3oU_s464000_e468000_chunk116,True
AVA_053oq2xB3oU_s468000_e472000_chunk117,True
AVA_053oq2xB3oU_s472000_e476000_chunk118,True
AVA_053oq2xB3oU_s476000_e480000_chunk119,True
AVA_053oq2xB3oU_s480000_e484000_chunk120,True
AVA_053oq2xB3oU_s484000_e488000_chunk121,True
AVA_053oq2xB3oU_s488000_e492000_chunk122,True
AVA_053oq2xB3oU_s492000_e496000_chunk123,True
AVA_053oq2xB3oU_s496000_e500000_chunk124,True
AVA_053oq2xB3oU_s500000_e504000_chunk125,True
AVA_053oq2xB3oU_s504000_e508000_chunk126,False
AVA_053oq2xB3oU_s508000_e512000_chunk127,True
AVA_053oq2xB3oU_s512000_e516000_chunk128,True
AVA_053oq2xB3oU_s516000_e520000_chunk129,True
AVA_053oq2xB3oU_s520000_e524000_chunk130,True
AVA_053oq2xB3oU_s524000_e528000_chunk131,False
AVA_053oq2xB3oU_s528000_e532000_chunk132,False
AVA_053oq2xB3oU_s532000_e536000_chunk133,False
AVA_053oq2xB3oU_s536000_e540000_chunk134,False
AVA_053oq2xB3oU_s540000_e544000_chunk135,False
AVA_053oq2xB3oU_s544000_e548000_chunk136,False
AVA_053oq2xB3oU_s548000_e552000_chunk137,True
AVA_053oq2xB3oU_s552000_e556000_chunk138,True
AVA_053oq2xB3oU_s556000_e560000_chunk139,True
AVA_053oq2xB3oU_s560000_e564000_chunk140,True
AVA_053oq2xB3oU_s564000_e568000_chunk141,False
AVA_053oq2xB3oU_s568000_e572000_chunk142,True
AVA_053oq2xB3oU_s572000_e576000_chunk143,True
AVA_053oq2xB3oU_s576000_e580000_chunk144,True
AVA_053oq2xB3oU_s580000_e584000_chunk145,True
AVA_053oq2xB3oU_s584000_e588000_chunk146,True
AVA_053oq2xB3oU_s588000_e592000_chunk147,True
AVA_053oq2xB3oU_s592000_e596000_chunk148,True
AVA_053oq2xB3oU_s596000_e600000_chunk149,True
AVA_053oq2xB3oU_s600000_e604000_chunk150,True
AVA_053oq2xB3oU_s604000_e608000_chunk151,True
AVA_053oq2xB3oU_s608000_e612000_chunk152,True
AVA_053oq2xB3oU_s612000_e616000_chunk153,True
AVA_053oq2xB3oU_s616000_e620000_chunk154,True
AVA_053oq2xB3oU_s620000_e624000_chunk155,True
AVA_053oq2xB3oU_s624000_e628000_chunk156,True
AVA_053oq2xB3oU_s628000_e632000_chunk157,True
AVA_053oq2xB3oU_s632000_e636000_chunk158,True
AVA_053oq2xB3oU_s636000_e640000_chunk159,True
AVA_053oq2xB3oU_s640000_e644000_chunk160,True
AVA_053oq2xB3oU_s644000_e648000_chunk161,True
AVA_053oq2xB3oU_s648000_e652000_chunk162,True
AVA_053oq2xB3oU_s652000_e656000_chunk163,True
AVA_053oq2xB3oU_s656000_e660000_chunk164,True
AVA_053oq2xB3oU_s660000_e664000_chunk165,True
AVA_053oq2xB3oU_s664000_e668000_chunk166,True
AVA_053oq2xB3oU_s668000_e672000_chunk167,True
AVA_053oq2xB3oU_s672000_e676000_chunk168,True
AVA_053oq2xB3oU_s676000_e680000_chunk169,True
AVA_053oq2xB3oU_s680000_e684000_chunk170,True
AVA_053oq2xB3oU_s684000_e688000_chunk171,True
AVA_053oq2xB3oU_s688000_e692000_chunk172,True
AVA_053oq2xB3oU_s692000_e696000_chunk173,False
AVA_053oq2xB3oU_s696000_e700000_chunk174,True
AVA_053oq2xB3oU_s700000_e704000_chunk175,False
AVA_053oq2xB3oU_s704000_e708000_chunk176,True
AVA_053oq2xB3oU_s708000_e712000_chunk177,True
AVA_053oq2xB3oU_s712000_e716000_chunk178,True
AVA_053oq2xB3oU_s716000_e720000_chunk179,True
AVA_053oq2xB3oU_s720000_e724000_chunk180,True
AVA_053oq2xB3oU_s724000_e728000_chunk181,True
AVA_053oq2xB3oU_s728000_e732000_chunk182,True
AVA_053oq2xB3oU_s732000_e736000_chunk183,True
AVA_053oq2xB3oU_s736000_e740000_chunk184,True
AVA_053oq2xB3oU_s740000_e744000_chunk185,True
AVA_053oq2xB3oU_s744000_e748000_chunk186,True
AVA_053oq2xB3oU_s748000_e752000_chunk187,False
AVA_053oq2xB3oU_s752000_e756000_chunk188,False
AVA_053oq2xB3oU_s756000_e760000_chunk189,True
AVA_053oq2xB3oU_s760000_e764000_chunk190,True
AVA_053oq2xB3oU_s764000_e768000_chunk191,False
AVA_053oq2xB3oU_s768000_e772000_chunk192,True
AVA_053oq2xB3oU_s772000_e776000_chunk193,True
AVA_053oq2xB3oU_s776000_e780000_chunk194,True
AVA_053oq2xB3oU_s780000_e784000_chunk195,True
AVA_053oq2xB3oU_s784000_e788000_chunk196,True
AVA_053oq2xB3oU_s788000_e792000_chunk197,True
AVA_053oq2xB3oU_s792000_e796000_chunk198,True
AVA_053oq2xB3oU_s796000_e800000_chunk199,True
AVA_053oq2xB3oU_s800000_e804000_chunk200,True
AVA_053oq2xB3oU_s804000_e808000_chunk201,True
AVA_053oq2xB3oU_s808000_e812000_chunk202,True
AVA_053oq2xB3oU_s812000_e816000_chunk203,True
AVA_053oq2xB3oU_s816000_e820000_chunk204,True
AVA_053oq2xB3oU_s820000_e824000_chunk205,True
AVA_053oq2xB3oU_s824000_e828000_chunk206,True
AVA_053oq2xB3oU_s828000_e832000_chunk207,True
AVA_053oq2xB3oU_s832000_e836000_chunk208,True
AVA_053oq2xB3oU_s836000_e840000_chunk209,True
AVA_053oq2xB3oU_s840000_e844000_chunk210,True
AVA_053oq2xB3oU_s844000_e848000_chunk211,False
AVA_053oq2xB3oU_s848000_e852000_chunk212,True
AVA_053oq2xB3oU_s852000_e856000_chunk213,True
AVA_053oq2xB3oU_s856000_e860000_chunk214,True
AVA_053oq2xB3oU_s860000_e864000_chunk215,True
AVA_053oq2xB3oU_s864000_e868000_chunk216,True
AVA_053oq2xB3oU_s868000_e872000_chunk217,True
AVA_053oq2xB3oU_s872000_e876000_chunk218,True
AVA_053oq2xB3oU_s876000_e880000_chunk219,True
AVA_053oq2xB3oU_s880000_e884000_chunk220,True
AVA_053oq2xB3oU_s884000_e888000_chunk221,True
AVA_053oq2xB3oU_s888000_e892000_chunk222,True
AVA_053oq2xB3oU_s892000_e896000_chunk223,True
AVA_053oq2xB3oU_s896000_e900000_chunk224,True
AVA_0f39OWEqJ24_s0_e4000_chunk0,True
AVA_0f39OWEqJ24_s4000_e8000_chunk1,False
AVA_0f39OWEqJ24_s8000_e12000_chunk2,False
AVA_0f39OWEqJ24_s12000_e16000_chunk3,False
AVA_0f39OWEqJ24_s16000_e20000_chunk4,False
AVA_0f39OWEqJ24_s20000_e24000_chunk5,False
AVA_0f39OWEqJ24_s24000_e28000_chunk6,True
AVA_0f39OWEqJ24_s28000_e32000_chunk7,True
AVA_0f39OWEqJ24_s32000_e36000_chunk8,True
AVA_0f39OWEqJ24_s36000_e40000_chunk9,True
AVA_0f39OWEqJ24_s40000_e44000_chunk10,True
AVA_0f39OWEqJ24_s44000_e48000_chunk11,True
AVA_0f39OWEqJ24_s48000_e52000_chunk12,False
AVA_0f39OWEqJ24_s52000_e56000_chunk13,True
AVA_0f39OWEqJ24_s56000_e60000_chunk14,True
AVA_0f39OWEqJ24_s60000_e64000_chunk15,True
AVA_0f39OWEqJ24_s64000_e68000_chunk16,True
AVA_0f39OWEqJ24_s68000_e72000_chunk17,True
AVA_0f39OWEqJ24_s72000_e76000_chunk18,True
AVA_0f39OWEqJ24_s76000_e80000_chunk19,False
AVA_0f39OWEqJ24_s80000_e84000_chunk20,False
AVA_0f39OWEqJ24_s84000_e88000_chunk21,True
AVA_0f39OWEqJ24_s88000_e92000_chunk22,True
AVA_0f39OWEqJ24_s92000_e96000_chunk23,True
AVA_0f39OWEqJ24_s96000_e100000_chunk24,False
AVA_0f39OWEqJ24_s100000_e104000_chunk25,True
AVA_0f39OWEqJ24_s104000_e108000_chunk26,False
AVA_0f39OWEqJ24_s108000_e112000_chunk27,True
AVA_0f39OWEqJ24_s112000_e116000_chunk28,False
AVA_0f39OWEqJ24_s116000_e120000_chunk29,False
AVA_0f39OWEqJ24_s120000_e124000_chunk30,False
AVA_0f39OWEqJ24_s124000_e128000_chunk31,False
AVA_0f39OWEqJ24_s128000_e132000_chunk32,True
AVA_0f39OWEqJ24_s132000_e136000_chunk33,True
AVA_0f39OWEqJ24_s136000_e140000_chunk34,False
AVA_0f39OWEqJ24_s140000_e144000_chunk35,False
AVA_0f39OWEqJ24_s144000_e148000_chunk36,False
AVA_0f39OWEqJ24_s148000_e152000_chunk37,False
AVA_0f39OWEqJ24_s152000_e156000_chunk38,False
AVA_0f39OWEqJ24_s156000_e160000_chunk39,False
AVA_0f39OWEqJ24_s160000_e164000_chunk40,False
AVA_0f39OWEqJ24_s164000_e168000_chunk41,False
AVA_0f39OWEqJ24_s168000_e172000_chunk42,False
AVA_0f39OWEqJ24_s172000_e176000_chunk43,False
AVA_0f39OWEqJ24_s176000_e180000_chunk44,True
AVA_0f39OWEqJ24_s180000_e184000_chunk45,False
AVA_0f39OWEqJ24_s184000_e188000_chunk46,False
AVA_0f39OWEqJ24_s188000_e192000_chunk47,False
AVA_0f39OWEqJ24_s192000_e196000_chunk48,False
AVA_0f39OWEqJ24_s196000_e200000_chunk49,False
AVA_0f39OWEqJ24_s200000_e204000_chunk50,False
AVA_0f39OWEqJ24_s204000_e208000_chunk51,False
AVA_0f39OWEqJ24_s208000_e212000_chunk52,False
AVA_0f39OWEqJ24_s212000_e216000_chunk53,True
AVA_0f39OWEqJ24_s216000_e220000_chunk54,False
AVA_0f39OWEqJ24_s220000_e224000_chunk55,False
AVA_0f39OWEqJ24_s224000_e228000_chunk56,False
AVA_0f39OWEqJ24_s228000_e232000_chunk57,False
AVA_0f39OWEqJ24_s232000_e236000_chunk58,False
AVA_0f39OWEqJ24_s236000_e240000_chunk59,True
AVA_0f39OWEqJ24_s240000_e244000_chunk60,True
AVA_0f39OWEqJ24_s244000_e248000_chunk61,True
AVA_0f39OWEqJ24_s248000_e252000_chunk62,True
AVA_0f39OWEqJ24_s252000_e256000_chunk63,False
AVA_0f39OWEqJ24_s256000_e260000_chunk64,True
AVA_0f39OWEqJ24_s260000_e264000_chunk65,True
AVA_0f39OWEqJ24_s264000_e268000_chunk66,False
AVA_0f39OWEqJ24_s268000_e272000_chunk67,False
AVA_0f39OWEqJ24_s272000_e276000_chunk68,False
AVA_0f39OWEqJ24_s276000_e280000_chunk69,False
AVA_0f39OWEqJ24_s280000_e284000_chunk70,False
AVA_0f39OWEqJ24_s284000_e288000_chunk71,False
AVA_0f39OWEqJ24_s288000_e292000_chunk72,False
AVA_0f39OWEqJ24_s292000_e296000_chunk73,True
AVA_0f39OWEqJ24_s296000_e300000_chunk74,True
AVA_0f39OWEqJ24_s300000_e304000_chunk75,True
AVA_0f39OWEqJ24_s304000_e308000_chunk76,True
AVA_0f39OWEqJ24_s308000_e312000_chunk77,True
AVA_0f39OWEqJ24_s312000_e316000_chunk78,True
AVA_0f39OWEqJ24_s316000_e320000_chunk79,True
AVA_0f39OWEqJ24_s320000_e324000_chunk80,True
AVA_0f39OWEqJ24_s324000_e328000_chunk81,True
AVA_0f39OWEqJ24_s328000_e332000_chunk82,True
AVA_0f39OWEqJ24_s332000_e336000_chunk83,False
AVA_0f39OWEqJ24_s336000_e340000_chunk84,False
AVA_0f39OWEqJ24_s340000_e344000_chunk85,False
AVA_0f39OWEqJ24_s344000_e348000_chunk86,False
AVA_0f39OWEqJ24_s348000_e352000_chunk87,False
AVA_0f39OWEqJ24_s352000_e356000_chunk88,False
AVA_0f39OWEqJ24_s356000_e360000_chunk89,False
AVA_0f39OWEqJ24_s360000_e364000_chunk90,False
AVA_0f39OWEqJ24_s364000_e368000_chunk91,False
AVA_0f39OWEqJ24_s368000_e372000_chunk92,True
AVA_0f39OWEqJ24_s372000_e376000_chunk93,False
AVA_0f39OWEqJ24_s376000_e380000_chunk94,False
AVA_0f39OWEqJ24_s380000_e384000_chunk95,True
AVA_0f39OWEqJ24_s384000_e388000_chunk96,True
AVA_0f39OWEqJ24_s388000_e392000_chunk97,True
AVA_0f39OWEqJ24_s392000_e396000_chunk98,True
AVA_0f39OWEqJ24_s396000_e400000_chunk99,True
AVA_0f39OWEqJ24_s400000_e404000_chunk100,False
AVA_0f39OWEqJ24_s404000_e408000_chunk101,True
AVA_0f39OWEqJ24_s408000_e412000_chunk102,False
AVA_0f39OWEqJ24_s412000_e416000_chunk103,False
AVA_0f39OWEqJ24_s416000_e420000_chunk104,False
AVA_0f39OWEqJ24_s420000_e424000_chunk105,False
AVA_0f39OWEqJ24_s424000_e428000_chunk106,False
AVA_0f39OWEqJ24_s428000_e432000_chunk107,False
AVA_0f39OWEqJ24_s432000_e436000_chunk108,True
AVA_0f39OWEqJ24_s436000_e440000_chunk109,True
AVA_0f39OWEqJ24_s440000_e444000_chunk110,True
AVA_0f39OWEqJ24_s444000_e448000_chunk111,True
AVA_0f39OWEqJ24_s448000_e452000_chunk112,False
AVA_0f39OWEqJ24_s452000_e456000_chunk113,True
AVA_0f39OWEqJ24_s456000_e460000_chunk114,False
AVA_0f39OWEqJ24_s460000_e464000_chunk115,False
AVA_0f39OWEqJ24_s464000_e468000_chunk116,False
AVA_0f39OWEqJ24_s468000_e472000_chunk117,False
AVA_0f39OWEqJ24_s472000_e476000_chunk118,False
AVA_0f39OWEqJ24_s476000_e480000_chunk119,True
AVA_0f39OWEqJ24_s480000_e484000_chunk120,False
AVA_0f39OWEqJ24_s484000_e488000_chunk121,False
AVA_0f39OWEqJ24_s488000_e492000_chunk122,False
AVA_0f39OWEqJ24_s492000_e496000_chunk123,False
AVA_0f39OWEqJ24_s496000_e500000_chunk124,True
AVA_0f39OWEqJ24_s500000_e504000_chunk125,False
AVA_0f39OWEqJ24_s504000_e508000_chunk126,False
AVA_0f39OWEqJ24_s508000_e512000_chunk127,False
AVA_0f39OWEqJ24_s512000_e516000_chunk128,False
AVA_0f39OWEqJ24_s516000_e520000_chunk129,True
AVA_0f39OWEqJ24_s520000_e524000_chunk130,True
AVA_0f39OWEqJ24_s524000_e528000_chunk131,True
AVA_0f39OWEqJ24_s528000_e532000_chunk132,True
AVA_0f39OWEqJ24_s532000_e536000_chunk133,True
AVA_0f39OWEqJ24_s536000_e540000_chunk134,True
AVA_0f39OWEqJ24_s540000_e544000_chunk135,True
AVA_0f39OWEqJ24_s544000_e548000_chunk136,True
AVA_0f39OWEqJ24_s548000_e552000_chunk137,False
AVA_0f39OWEqJ24_s552000_e556000_chunk138,False
AVA_0f39OWEqJ24_s556000_e560000_chunk139,False
AVA_0f39OWEqJ24_s560000_e564000_chunk140,True
AVA_0f39OWEqJ24_s564000_e568000_chunk141,True
AVA_0f39OWEqJ24_s568000_e572000_chunk142,True
AVA_0f39OWEqJ24_s572000_e576000_chunk143,True
AVA_0f39OWEqJ24_s576000_e580000_chunk144,True
AVA_0f39OWEqJ24_s580000_e584000_chunk145,True
AVA_0f39OWEqJ24_s584000_e588000_chunk146,True
AVA_0f39OWEqJ24_s588000_e592000_chunk147,True
AVA_0f39OWEqJ24_s592000_e596000_chunk148,True
AVA_0f39OWEqJ24_s596000_e600000_chunk149,True
AVA_0f39OWEqJ24_s600000_e604000_chunk150,True
AVA_0f39OWEqJ24_s604000_e608000_chunk151,True
AVA_0f39OWEqJ24_s608000_e612000_chunk152,True
AVA_0f39OWEqJ24_s612000_e616000_chunk153,False
AVA_0f39OWEqJ24_s616000_e620000_chunk154,False
AVA_0f39OWEqJ24_s620000_e624000_chunk155,False
AVA_0f39OWEqJ24_s624000_e628000_chunk156,False
AVA_0f39OWEqJ24_s628000_e632000_chunk157,False
AVA_0f39OWEqJ24_s632000_e636000_chunk158,False
AVA_0f39OWEqJ24_s636000_e640000_chunk159,False
AVA_0f39OWEqJ24_s640000_e644000_chunk160,False
AVA_0f39OWEqJ24_s644000_e648000_chunk161,False
AVA_0f39OWEqJ24_s648000_e652000_chunk162,False
AVA_0f39OWEqJ24_s652000_e656000_chunk163,False
AVA_0f39OWEqJ24_s656000_e660000_chunk164,False
AVA_0f39OWEqJ24_s660000_e664000_chunk165,True
AVA_0f39OWEqJ24_s664000_e668000_chunk166,False
AVA_0f39OWEqJ24_s668000_e672000_chunk167,False
AVA_0f39OWEqJ24_s672000_e676000_chunk168,True
AVA_0f39OWEqJ24_s676000_e680000_chunk169,True
AVA_0f39OWEqJ24_s680000_e684000_chunk170,False
AVA_0f39OWEqJ24_s684000_e688000_chunk171,False
AVA_0f39OWEqJ24_s688000_e692000_chunk172,False
AVA_0f39OWEqJ24_s692000_e696000_chunk173,False
AVA_0f39OWEqJ24_s696000_e700000_chunk174,False
AVA_0f39OWEqJ24_s700000_e704000_chunk175,False
AVA_0f39OWEqJ24_s704000_e708000_chunk176,False
AVA_0f39OWEqJ24_s708000_e712000_chunk177,False
AVA_0f39OWEqJ24_s712000_e716000_chunk178,False
AVA_0f39OWEqJ24_s716000_e720000_chunk179,False
AVA_0f39OWEqJ24_s720000_e724000_chunk180,False
AVA_0f39OWEqJ24_s724000_e728000_chunk181,False
AVA_0f39OWEqJ24_s728000_e732000_chunk182,True
AVA_0f39OWEqJ24_s732000_e736000_chunk183,True
AVA_0f39OWEqJ24_s736000_e740000_chunk184,True
AVA_0f39OWEqJ24_s740000_e744000_chunk185,True
AVA_0f39OWEqJ24_s744000_e748000_chunk186,True
AVA_0f39OWEqJ24_s748000_e752000_chunk187,True
AVA_0f39OWEqJ24_s752000_e756000_chunk188,True
AVA_0f39OWEqJ24_s756000_e760000_chunk189,True
AVA_0f39OWEqJ24_s760000_e764000_chunk190,True
AVA_0f39OWEqJ24_s764000_e768000_chunk191,False
AVA_0f39OWEqJ24_s768000_e772000_chunk192,False
AVA_0f39OWEqJ24_s772000_e776000_chunk193,False
AVA_0f39OWEqJ24_s776000_e780000_chunk194,False
AVA_0f39OWEqJ24_s780000_e784000_chunk195,True
AVA_0f39OWEqJ24_s784000_e788000_chunk196,True
AVA_0f39OWEqJ24_s788000_e792000_chunk197,True
AVA_0f39OWEqJ24_s792000_e796000_chunk198,True
AVA_0f39OWEqJ24_s796000_e800000_chunk199,True
AVA_0f39OWEqJ24_s800000_e804000_chunk200,True
AVA_0f39OWEqJ24_s804000_e808000_chunk201,True
AVA_0f39OWEqJ24_s808000_e812000_chunk202,True
AVA_0f39OWEqJ24_s812000_e816000_chunk203,True
AVA_0f39OWEqJ24_s816000_e820000_chunk204,True
AVA_0f39OWEqJ24_s820000_e824000_chunk205,True
AVA_0f39OWEqJ24_s824000_e828000_chunk206,True
AVA_0f39OWEqJ24_s828000_e832000_chunk207,True
AVA_0f39OWEqJ24_s832000_e836000_chunk208,True
AVA_0f39OWEqJ24_s836000_e840000_chunk209,True
AVA_0f39OWEqJ24_s840000_e844000_chunk210,True
AVA_0f39OWEqJ24_s844000_e848000_chunk211,True
AVA_0f39OWEqJ24_s848000_e852000_chunk212,True
AVA_0f39OWEqJ24_s852000_e856000_chunk213,True
AVA_0f39OWEqJ24_s856000_e860000_chunk214,True
AVA_0f39OWEqJ24_s860000_e864000_chunk215,True
AVA_0f39OWEqJ24_s864000_e868000_chunk216,True
AVA_0f39OWEqJ24_s868000_e872000_chunk217,True
AVA_0f39OWEqJ24_s872000_e876000_chunk218,True
AVA_0f39OWEqJ24_s876000_e880000_chunk219,True
AVA_0f39OWEqJ24_s880000_e884000_chunk220,False
AVA_0f39OWEqJ24_s884000_e888000_chunk221,False
AVA_0f39OWEqJ24_s888000_e892000_chunk222,True
AVA_0f39OWEqJ24_s892000_e896000_chunk223,False
AVA_0f39OWEqJ24_s896000_e900000_chunk224,False
AVA_20TAGRElvfE_s0_e4000_chunk0,False
AVA_20TAGRElvfE_s4000_e8000_chunk1,False
AVA_20TAGRElvfE_s8000_e12000_chunk2,False
AVA_20TAGRElvfE_s12000_e16000_chunk3,False
AVA_20TAGRElvfE_s16000_e20000_chunk4,True
AVA_20TAGRElvfE_s20000_e24000_chunk5,True
AVA_20TAGRElvfE_s24000_e28000_chunk6,True
AVA_20TAGRElvfE_s28000_e32000_chunk7,True
AVA_20TAGRElvfE_s32000_e36000_chunk8,True
AVA_20TAGRElvfE_s36000_e40000_chunk9,True
AVA_20TAGRElvfE_s40000_e44000_chunk10,False
AVA_20TAGRElvfE_s44000_e48000_chunk11,False
AVA_20TAGRElvfE_s48000_e52000_chunk12,True
AVA_20TAGRElvfE_s52000_e56000_chunk13,True
AVA_20TAGRElvfE_s56000_e60000_chunk14,True
AVA_20TAGRElvfE_s60000_e64000_chunk15,False
AVA_20TAGRElvfE_s64000_e68000_chunk16,False
AVA_20TAGRElvfE_s68000_e72000_chunk17,False
AVA_20TAGRElvfE_s72000_e76000_chunk18,True
AVA_20TAGRElvfE_s76000_e80000_chunk19,True
AVA_20TAGRElvfE_s80000_e84000_chunk20,True
AVA_20TAGRElvfE_s84000_e88000_chunk21,True
AVA_20TAGRElvfE_s88000_e92000_chunk22,True
AVA_20TAGRElvfE_s92000_e96000_chunk23,True
